rank,group,album,release,format,sales,label,sublabel,gender
70,NCT 127,NCT #127 Neo Zone : The Final Round,2020.05.19,Repackage Album,711872,SM Entertainment,SM Entertainment,Boy
71,EXO,Overdose,2014.05.07,2nd Mini Album,711027,SM Entertainment,SM Entertainment,Boy
72,ENHYPEN,BORDER : DAY ONE,2020.11.30,1st Mini Album,702487,HYBE,Belift Lab,Boy
73,Stray Kids,GO LIVE,2020.06.17,1st Full Album,689287,JYP Entertainment,JYP Entertainment,Boy
74,BTS,SKOOL LUV AFFAIR SPECIAL ADDITION,2014.05.14,Repackage Album,687428,HYBE,Big Hit Entertainment,Boy
75,BTS,SKOOL LUV AFFAIR,2014.02.12,2nd Mini Album,674440,HYBE,Big Hit Entertainment,Boy
76,TREASURE,THE SECOND STEP : CHAPTER TWO,2022.10.05,2nd Mini Album,663970,YG Entertainment,YG Entertainment,Boy
77,Wanna One,1-1=0 (NOTHING WITHOUT YOU),2017.11.13,Repackage Album,658688,Swing Entertainment,Swing Entertainment,Boy
78,X1,QUANTUM LEAP,2019.08.27,1st Mini Album,657888,"Swing Entertainment, Stone Music Entertainment","Swing Entertainment, Stone Music Entertainment",Boy
79,THE BOYZ,MAVERICK,2021.11.01,3rd Single Album,645873,IST Entertainment,IST Entertainment,Boy
80,NCT DREAM,We Boom,2019.07.26,3rd Mini Album,644896,SM Entertainment,SM Entertainment,Boy
81,Wanna One,1÷x=1 (UNDIVIDED),2018.06.04,Special Album,644771,Swing Entertainment,Swing Entertainment,Boy
82,THE BOYZ,THRILL-ING,2021.08.09,6th Mini Album,642992,IST Entertainment,IST Entertainment,Boy
83,NCT,NCT 2018 EMPATHY,2018.03.14,1st Full Album,640535,SM Entertainment,SM Entertainment,Boy
84,BTS,DARK&WILD,2014.08.20,1st Full Album,624289,HYBE,Big Hit Entertainment,Boy
85,THE BOYZ,BE AWARE,2022.08.16,7th Mini Album,584236,IST Entertainment,IST Entertainment,Boy
86,EXO,Miracles in December,2013.12.09,Special Album,578715,SM Entertainment,SM Entertainment,Boy
87,EXO,Universe,2017.12.26,Special Album,577272,SM Entertainment,SM Entertainment,Boy
88,SEVENTEEN,"TEEN, AGE",2017.11.16,2nd Full Album,575402,HYBE,Pledis Entertainment,Boy
89,EXO,THE WAR: The Power of Music,2017.09.05,Repackage Album,573445,SM Entertainment,SM Entertainment,Boy
90,EXO,XOXO,2013.06.03,1st Full Album,572430,SM Entertainment,SM Entertainment,Boy
91,SuperM,Super One,2020.09.25,1st Full Album,562271,SM Entertainment,SM Entertainment,Boy
92,BTS,BTS WORLD,2019.06.28,OST,553364,HYBE,Big Hit Entertainment,Boy
93,EXO,Sing For You,2015.12.10,Special Album,551271,SM Entertainment,SM Entertainment,Boy
94,TXT,The Dream Chapter: ETERNITY,2020.05.18,2nd Mini Album,549939,HYBE,Big Hit Entertainment,Boy
95,EXO,LOVE SHOT,2018.12.13,Repackage Album,543101,SM Entertainment,SM Entertainment,Boy
96,EXO,MAMA,2012.04.09,1st Mini Album,542723,SM Entertainment,SM Entertainment,Boy
97,EXO-SC,1 Billion Views,2020.07.13,1st Full Album,541639,SM Entertainment,SM Entertainment,Boy
98,BTS,"O!RUL8,2?",2013.09.11,1st Mini Album,535900,HYBE,Big Hit Entertainment,Boy
99,THE BOYZ,BE AWAKE,2023.02.20,12th Mini Album,535137,IST Entertainment,IST Entertainment,Boy
100,SEVENTEEN,YOU MADE MY DAWN,2019.01.21,6th Mini Album,525561,HYBE,Pledis Entertainment,Boy
